dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_layers,num_neurons,num_topics
dataset_name,RF,LCB,0,73.79419350624084,0.4371505831873012,0.4291618821807536,0.03915306450863128,sigmoid,0.6514267016354713,5,100,30
dataset_name,RF,LCB,1,103.27266001701355,0.469391273846252,0.4696318409647886,0.026608293456520094,sigmoid,0.36465738878542603,1,300,4
dataset_name,RF,LCB,2,55.757807970047,0.4029575130473836,0.3976554995844113,0.010536427241244546,relu,0.7194150573052889,5,300,46
dataset_name,RF,LCB,3,63.70528316497803,0.43290125496463183,0.43371950588210406,0.011197086775824126,softplus,0.8939757885031475,5,300,29
dataset_name,RF,LCB,4,135.06318426132202,0.5006184728446788,0.509690796476725,0.020790938210531285,softplus,0.40562567942029937,2,200,34
dataset_name,RF,LCB,5,120.71470642089844,0.5132274975809185,0.5120146870859633,0.014981128070064591,softplus,0.21284652673110588,3,200,48
dataset_name,RF,LCB,6,85.89533972740173,0.4664949894366672,0.46533834125620926,0.02624641797475614,relu,0.38824533434274966,5,200,3
dataset_name,RF,LCB,7,122.79418087005615,0.4861695814873642,0.4916186047358426,0.014980170974385703,relu,0.0946965506282645,2,200,20
dataset_name,RF,LCB,8,122.5838680267334,0.50777421447054,0.5093867000385158,0.007422328252974582,sigmoid,0.3070025949662469,1,200,44
dataset_name,RF,LCB,9,49.56088304519653,0.4375974049736255,0.442381511467254,0.023118876403942723,sigmoid,0.6679750523171841,3,200,38
dataset_name,RF,LCB,10,101.10247993469238,0.42653277988546984,0.436002411969495,0.03691711634319693,softplus,0.32771452275074675,4,300,44
dataset_name,RF,LCB,11,146.91795802116394,0.5070015029104221,0.5087792244287608,0.00871547427468235,softplus,0.10786493641007007,3,100,35
dataset_name,RF,LCB,12,83.86710667610168,0.4457483340361126,0.4480544385858559,0.031601443293859485,softplus,0.15325532249470603,4,200,35
dataset_name,RF,LCB,13,78.19114804267883,0.4685153200159642,0.46916033756454845,0.037649987361398046,softplus,0.28799352440017223,3,300,46
dataset_name,RF,LCB,14,148.34328866004944,0.5034596273656625,0.4886128280198097,0.025523010834216528,softplus,0.11416633028831788,3,300,42
dataset_name,RF,LCB,15,87.79965806007385,0.5139345042016116,0.508171063243298,0.016004042583994987,softplus,0.3241550756714365,3,200,45
dataset_name,RF,LCB,16,81.17135548591614,0.5192402674881709,0.5123902944273202,0.012065850769634666,softplus,0.5213514605072027,3,200,43
dataset_name,RF,LCB,17,99.10733962059021,0.5396497061550374,0.5357715181253833,0.015865618895863694,softplus,0.7542136435574609,1,200,43
dataset_name,RF,LCB,18,53.687764167785645,0.4587837061061136,0.4461661831520317,0.01836134495599248,softplus,0.7571473136014818,3,200,44
dataset_name,RF,LCB,19,114.70531511306763,0.5425109092802317,0.5419990291921153,0.014202953081719394,softplus,0.8077831162111603,1,200,43
dataset_name,RF,LCB,20,116.61252951622009,0.5279744355984386,0.5300808765286584,0.012684825165885604,relu,0.8041337190513915,1,200,43
dataset_name,RF,LCB,21,117.79920935630798,0.5143105311798613,0.5187408401598759,0.02018033083028708,softplus,0.6448395979696889,1,200,40
dataset_name,RF,LCB,22,114.05650448799133,0.5515577391717529,0.5466925462055856,0.012493379588337817,sigmoid,0.835759605354914,1,100,43
dataset_name,RF,LCB,23,49.110899686813354,0.44569344852165554,0.44715070119253897,0.011569377181530713,sigmoid,0.7901224499766105,2,100,43
dataset_name,RF,LCB,24,111.30004692077637,0.542897825673807,0.5375844624410911,0.01615612664064859,sigmoid,0.8060297510435691,1,300,43
dataset_name,RF,LCB,25,80.40565204620361,0.5295096512497054,0.5194885617851808,0.02837267652475539,sigmoid,0.938222853944099,1,300,35
dataset_name,RF,LCB,26,52.09391641616821,0.43327976163793847,0.43253730869296436,0.0037618733853426738,sigmoid,0.9203712127899146,2,200,41
dataset_name,RF,LCB,27,114.9528911113739,0.5057652612591756,0.5194222995532248,0.02993174203683206,sigmoid,0.894750202377084,1,300,25
dataset_name,RF,LCB,28,96.55117726325989,0.5356887275845621,0.5409123882019231,0.01209760910297525,sigmoid,0.7857353003217733,1,300,46
dataset_name,RF,LCB,29,78.6193790435791,0.48836404424747715,0.4892181430525806,0.017354365245365523,sigmoid,0.9262263103532388,1,100,42
dataset_name,RF,LCB,30,125.15399503707886,0.5280857352470142,0.5314712106783899,0.005325989561478299,sigmoid,0.7408288151881969,1,100,50
dataset_name,RF,LCB,31,108.82662510871887,0.5431824884138575,0.5442822778178381,0.006344276711972915,sigmoid,0.7869151255328352,1,100,44
dataset_name,RF,LCB,32,112.18204879760742,0.5271108138513603,0.5303902328953776,0.01493902582724126,sigmoid,0.75829126530503,1,300,50
dataset_name,RF,LCB,33,98.77789044380188,0.5170832925090829,0.5170177789689101,0.01576715655118266,sigmoid,0.8382976982064039,1,200,43
dataset_name,RF,LCB,34,107.58589935302734,0.5255714522132636,0.5239955569683039,0.016238152760512176,sigmoid,0.570224451900652,1,100,43
dataset_name,RF,LCB,35,117.40464901924133,0.5406040483272193,0.5467336594272957,0.014502179018916306,relu,0.8007645091178787,1,100,42
dataset_name,RF,LCB,36,113.51993918418884,0.5500654729087019,0.5460041472518647,0.00983544191285326,relu,0.7823861238339092,1,200,39
dataset_name,RF,LCB,37,87.32193565368652,0.5302972440960806,0.5282848412770607,0.01501539811370343,softplus,0.8196747753209026,1,100,39
dataset_name,RF,LCB,38,81.86549162864685,0.5492245963386807,0.5285227984460864,0.059682818662744774,relu,0.7703483496988393,1,100,6
dataset_name,RF,LCB,39,96.98396396636963,0.38662241066364045,0.38142832439878804,0.06367603480438483,relu,0.757177210255549,1,100,2
dataset_name,RF,LCB,40,101.1528103351593,0.44334421154305775,0.42155856177439893,0.0535156105706478,relu,0.7788263928216123,1,100,3
dataset_name,RF,LCB,41,90.65671253204346,0.5428652795707153,0.5368432690213064,0.01772243149473616,relu,0.7829679689840158,1,100,24
dataset_name,RF,LCB,42,86.74505949020386,0.5471814976945543,0.542754867715246,0.04952544816829613,relu,0.7892191720261453,1,100,6
dataset_name,RF,LCB,43,79.69155526161194,0.46490595429597437,0.4590252680165358,0.0446975089666629,softplus,0.7902340662241051,1,100,4
dataset_name,RF,LCB,44,118.73461484909058,0.5426012324918662,0.5492962480821929,0.014280181908055963,relu,0.7748927860907913,1,100,11
dataset_name,RF,LCB,45,94.89264392852783,0.565731284965184,0.5607505457916246,0.036251055511499965,relu,0.7782334352704483,1,200,6
dataset_name,RF,LCB,46,75.74967217445374,0.5333563293017479,0.5329325112514429,0.030454565444199805,relu,0.7621125095473721,1,300,7
dataset_name,RF,LCB,47,101.7337429523468,0.514250525044328,0.5305137647474063,0.04956015185887852,relu,0.7190419264895724,1,100,6
dataset_name,RF,LCB,48,94.20448160171509,0.5171346767516369,0.5264438263739104,0.04031195108493776,relu,0.7710287504285156,1,100,6
dataset_name,RF,LCB,49,91.8513765335083,0.5550680589590317,0.5591389342401969,0.05815202359543738,relu,0.7808743800253221,1,200,6
