dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,num_topics
dataset_name,RF,LCB,0,21.633946418762207,0.23521666338678354,0.23421515922211106,0.00408247054383776,0.9772341728128853,1.3745675118469347,49
dataset_name,RF,LCB,1,15.175510883331299,0.2429603241195069,0.24195514143504884,0.008688418560115124,1.1897607902677867,0.7738612670347346,18
dataset_name,RF,LCB,2,27.633657455444336,0.2987493400266477,0.2990891819457354,0.010770150312353198,0.42631791426851773,1.0967135406496156,47
dataset_name,RF,LCB,3,27.989654302597046,0.39435536686863065,0.4056174889399631,0.029520253507790545,0.17066034790919302,0.5911331380589413,27
dataset_name,RF,LCB,4,13.556747913360596,0.22485566259310433,0.22515047463222643,0.004737212356621071,1.8306129882722628,1.0266802798531705,12
dataset_name,RF,LCB,5,25.698671579360962,0.39425324449701277,0.4053921674695909,0.017390828148854377,0.0338454956067362,1.0404396868134067,25
dataset_name,RF,LCB,6,29.78791832923889,0.41589708582814544,0.39342927629027125,0.04608112780135123,0.1645942441340401,1.9017329115543369,31
dataset_name,RF,LCB,7,23.30577516555786,0.39990933171070686,0.4071702100187397,0.021824284360481633,0.20628000600424423,0.5022093716495644,15
dataset_name,RF,LCB,8,25.7155339717865,0.38257472152437916,0.38481076036580897,0.012542656780958932,0.1877513240816256,0.367926890098788,21
dataset_name,RF,LCB,9,30.2291316986084,0.4243394867604979,0.4146493525902512,0.01959067136541928,0.03145944082141629,1.205633985325183,50
dataset_name,RF,LCB,10,33.02482032775879,0.41367254211378085,0.4011313781610779,0.03625264508913823,0.3021031730234976,1.8948491670484713,39
dataset_name,RF,LCB,11,31.86740231513977,0.42285572162000085,0.4304757845592867,0.016754982857773385,0.3102476259892519,1.6064967303500384,34
dataset_name,RF,LCB,12,31.309990644454956,0.3389121528593851,0.3559144723838578,0.025699158450653257,0.36491908300008247,1.7631153189539683,48
dataset_name,RF,LCB,13,31.534413814544678,0.4046791531023145,0.4029381610270816,0.02146225496495035,0.3499743911564992,1.6810606344457768,42
dataset_name,RF,LCB,14,31.315303802490234,0.4161661587761586,0.41357450278184943,0.03246047382016359,0.3666350139727533,1.232550961743708,34
dataset_name,RF,LCB,15,30.297298431396484,0.3631659429101272,0.367730540500332,0.01581099141451013,0.38954400270464773,1.5428608760676998,34
dataset_name,RF,LCB,16,29.979707956314087,0.3680887644083,0.3516072731170238,0.032407961548105046,0.3853936862102622,1.587301442543284,44
dataset_name,RF,LCB,17,30.454833030700684,0.4198066375341948,0.39148977605562973,0.04279972372094325,0.37844008318718525,1.6939419834244422,38
dataset_name,RF,LCB,18,28.944783449172974,0.31347422883828474,0.3171112965441448,0.027503347575930037,0.3994269558426837,1.848452444781327,38
dataset_name,RF,LCB,19,29.80959177017212,0.4027780472839875,0.3980957496054751,0.022358034931741808,0.3905621111314611,1.9695511831904369,31
dataset_name,RF,LCB,20,29.85908603668213,0.3890058839407642,0.39458693131013167,0.013922680321952135,0.39262711096998176,1.914115210883638,32
dataset_name,RF,LCB,21,29.073155403137207,0.40296216525323975,0.3911790354313818,0.022740952753921254,0.3919648621096019,1.6492531719068286,29
dataset_name,RF,LCB,22,29.55322241783142,0.3692449195758275,0.3688801108917296,0.013178843052264216,0.3957152728709814,1.6639129552194958,35
dataset_name,RF,LCB,23,29.22076988220215,0.3850937083667221,0.3917856896419072,0.02274822766965579,0.3960246526607742,1.9498332286185651,30
dataset_name,RF,LCB,24,25.006039142608643,0.3339048192311369,0.3731668205924807,0.05985461939616353,0.39728185653336895,1.64741689883407,4
dataset_name,RF,LCB,25,26.39698553085327,0.4032638459932934,0.39878838474861406,0.02659083503636628,0.3960487009281763,0.9896197797610939,14
dataset_name,RF,LCB,26,28.84709095954895,0.3871144463425726,0.4046038462410829,0.029402556874675828,0.39644782661138955,1.0297909081307377,17
dataset_name,RF,LCB,27,29.231804609298706,0.4216617729176027,0.4244886090451832,0.027893751638088892,0.39671311875871357,1.8309514785654746,27
dataset_name,RF,LCB,28,21.55056929588318,0.1942721515700272,0.24310153202153845,0.07184084956854214,0.39683293538182357,0.6098971616801115,2
dataset_name,RF,LCB,29,28.39982295036316,0.39703153501929755,0.40862323074370915,0.02096784185479703,0.3966635126030594,0.557803820921152,23
dataset_name,RF,LCB,30,28.7868595123291,0.4353957424754433,0.42991966396265713,0.015515359094535436,0.3968710989411439,1.684338657920125,22
dataset_name,RF,LCB,31,21.672739505767822,0.24838700787735996,0.2431124838913051,0.013077432649912237,0.3278288372570114,1.7135429037331358,2
dataset_name,RF,LCB,32,23.378055334091187,0.37869003602305334,0.3863672509068888,0.035872718731350686,0.1976467206400476,1.6930286669806147,14
dataset_name,RF,LCB,33,26.68106746673584,0.3911930427144199,0.39069885150682404,0.013339992942835175,0.2988515161799035,1.788266774573924,13
dataset_name,RF,LCB,34,27.92983055114746,0.4211279583541423,0.41997614502381336,0.02354270816688529,0.3977902467076523,0.37365178919602754,22
dataset_name,RF,LCB,35,29.49119997024536,0.39510986422778344,0.39369807012360236,0.021368468219490865,0.3970556319530774,1.5086153252879475,25
dataset_name,RF,LCB,36,31.01308584213257,0.3619302899925975,0.3695957237799698,0.025605973546737704,0.39834751403685914,1.8543035886079415,28
dataset_name,RF,LCB,37,26.799304485321045,0.4222679866861327,0.42957400101423177,0.015247505248971843,0.39694848302930774,0.049220404118912216,18
dataset_name,RF,LCB,38,25.701834201812744,0.38153792115212937,0.39728237532288857,0.025983589008527395,0.3977368913787075,0.1089234673987431,16
dataset_name,RF,LCB,39,21.843419551849365,0.39707336002005955,0.3768540429537082,0.04617834839642476,0.14969246159825828,1.6091922804799919,13
dataset_name,RF,LCB,40,22.271867990493774,0.37595817464634496,0.38135524349696776,0.010071625116584446,0.14026018241112254,1.6136594577399581,13
dataset_name,RF,LCB,41,27.111204862594604,0.4041424692851459,0.3981665422616017,0.014728061566841465,0.3983680416375991,0.044403576919994955,20
dataset_name,RF,LCB,42,26.5744411945343,0.3840538462019926,0.37949979758058555,0.013868596508668984,0.3411002610268312,1.0040864697295122,11
dataset_name,RF,LCB,43,27.183501482009888,0.34072398898359185,0.3462496569335477,0.01443393761353034,0.3850040971853821,1.5953899876739315,9
dataset_name,RF,LCB,44,26.301847457885742,0.3910827661643605,0.3867459209173234,0.01863176750438578,0.33761794524417826,0.7513153232109155,12
dataset_name,RF,LCB,45,27.805423259735107,0.4029165785479519,0.3976422711099872,0.012954242659461435,0.3988789694456999,0.20885891923007316,17
dataset_name,RF,LCB,46,28.978456735610962,0.39681174673354647,0.40467481291713653,0.014335027238300232,0.3987088904975845,1.7044767079933492,20
dataset_name,RF,LCB,47,28.0970139503479,0.4008260643617273,0.3954582616796133,0.027194294665917513,0.3990856562977055,0.357883653032691,25
dataset_name,RF,LCB,48,20.638952255249023,0.3861685591321041,0.39277078240886565,0.01590333741147652,0.1644771156274096,0.028456773000641145,12
dataset_name,RF,LCB,49,24.216377019882202,0.3927676410168562,0.40340740497330047,0.03828623946754424,0.39422226141343225,0.04055098428854484,12
